College,Location,Type,Fees(aprox),Hostel,Placement,Overall,CSE closing rank,ECE closing rank,Mech closing rank,Civil closing rank
Trinity College of Engineering,Thiruvananthapuram ,Private,90000,1,3.6,4.0,"47,141","46,949","36,049","48,409"
Government Engineering College,Idukki,Govt,35000,1,3.5,4.0,2271,4671,13660, 
College of Engineering Trivandrum (CET),Thiruvananthapuram ,Govt,35000,1,4.3,4.4,1005,925,"3,927","8,047"
Government Engineering College Thrissur (GECT),Thrissur,Govt,35000,1,4.2,4.4,1004,1616,5425,9565
Government College of Engineering Kannur (GCEK),Kannur,Govt,35000,1,3.5,4.1,3019,5041,12591,13423
Rajiv Gandhi Institute of Technology (RIT),Kottayam,Govt,35000,1,3.9,4.3,2445,4137,11931,13354
MG University,Kottayam,Govt,400000,0,3.8,4.1,2641,6175,"24,229","15,352"
Model Engineering College (MEC),"Thrikkakara, Kochi",Private,35000,0,4.5,3.3,"1,286","2,742","11,394",
KMCT College of Engineering,Kozhikode,Private,75000,1,2.6,4.2,29912,50966,50053,52359
Sree Chitra Thirunal College of Engineering (SCTCE),thiruvananthapuram ,Govt,35000,0,4.1,3.9,"4,481",6566,15037,
Rajagiri School of Engineering & Technology (RSET),Kochi,Private,75000,1,4.1,4.2,5444,8460,26740,28600
Federal Institute of Science and Technology (FISAT),Ernakulam,Private,75000,1,4.0,3.9,8059,12129,28104,46006
Saintgits College of Engineering,Kottayam,Private,75000,1,4.7,4.2,12821,15676,47135,51814
TKM College of Engineering,kollam,"Private,semi-Govt",35000,1,3.9,4.2,2157,2826,9876,11767
NSS College of Engineering,palakad ,Govt,35000,1,4.0,4.2,3640,5715,16073,18233
Government Engineering College Barton Hill (GECB),Thiruvananthapuram ,Govt,35000,0,3.7,4.1,,4299,12003,12622
LBS Institute of Technology for Women (LBSITW),Thiruvananthapuram ,"Govt-controlled, self-financing ",35000,1,4.3,4.2,15186,33083,,
SCMS school of engineering and technology ,Ernakulam ,Private ,75000,1,3.5,3.8,18991,22983,48601,
Muthoot institute of technology and science (MITS),Ernakulam ,Private ,75000,1,4.0,3.9,12054,10951,28457,37374
College of engineering Trivandrum(CET),Thiruvananthapuram ,Govt,34600,1,4.3,4.4,530,761,3274,5286
Government Engineering College(GEC),Thrissur,Govt,35930,1,4.2,4.4,1004,1616,5425,9565
Cochin University of Science and Technology (CUSAT),Kochi,Govt,71680,1,3.9,4.0,2388,5385,1494,5195
Rajadhani Institute of Engineering and Technology (RIET),Thiruvananthapuram ,Private,80000,1,3.2,3.9,38142,51767,51148,48207
Adi Shankara Institute of Engineering and Technology (ASIET),Ernakulam,Private,75000,1,3.5,3.7,21159,20871,41625,51388
Christ College of Engineering,Thrissur,Private,110500,1,4.2,3.9,15956,16369,36216,49044
Musaliar College of Engineering and Technology,Pathanamthitta,Private,502000,1,3.9,4.1,48524,39170,51789, 
Mar Athanasius College of Engineering (MACE),Ernakulam,Govt,55000,1,4.0,4.2,1944,3456,11248,13349
Cochin University College of Engineering Kuttanad (CUCEK),Alappuzha,Govt,88890,1,3.5,3.5,711,1131,,2061
Sri Vellappally Natesan College of Engineering (SVNCE),Alappuzha,Private,180000,1,3.5,3.5,44390,36658,45308,
